구분,발표처,제목,웹주소
중앙부처,국세청,야구장 맥주보이·치맥배달 허용된다,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829307?&amp;pageIndex=1"")"
중앙부처,산림청,[서부지방산림청] 특수용도(표고자목용) 목재생산구역 지정 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843347?&amp;pageIndex=1"")"
중앙부처,산림청,[본청] 2017년도 녹색자금 지원사업 공모,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843346?&amp;pageIndex=1"")"
중앙부처,새만금개발청,"새만금개발청, 한국미쓰비시상사 임직원 새만금 현장 초청","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843336?&amp;pageIndex=1"")"
중앙부처,위클리공감,"매력 빵빵한 K-컬처, 우리도 브라질로 간다!","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829306?&amp;pageIndex=2"")"
중앙부처,정책브리핑,"장마철, 주요 채소류 수급 비교적 안정될 전망","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843135?&amp;pageIndex=1"")"
중앙부처,정책브리핑,여름 휴가철 이전“함께 가꾸는 농촌운동”추진,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843134?&amp;pageIndex=1"")"
중앙부처,정책브리핑,`16년 상반기 계열화사업자 방역관리 실태 점검․평가 실시,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843133?&amp;pageIndex=1"")"
중앙부처,정책브리핑,"[참고]「민자도로 ‘엉터리’ 수요예측, 정부 3년간 세금 1조원 낭비」 보도 관련","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843132?&amp;pageIndex=1"")"
중앙부처,한국정보화진흥원,공공기관 민간클라우드 선도활용 지원 수요조사 안내,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843203?&amp;pageIndex=1"")"
중앙부처,행정자치부,제40회 청백봉사상 수상 후보자 공적 공개,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/843348?&amp;pageIndex=1"")"
지자체,강원도 영월군,보도자료 2016.07.08(금),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843292?&amp;pageIndex=2"")"
지자체,강원도 원주시,원주 도시관리계획(지구단위계획:반곡아파트) 지형도면 승인 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843189?&amp;pageIndex=5"")"
지자체,경기도 고양시,2016년 고양시 특화 전시회 지원 사업 공고(추가),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843279?&amp;pageIndex=3"")"
지자체,경기도 고양시,도시계획시설(공원 제120호 : 행신3어린이공원)사업 실시계획고시 전 열람·공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843278?&amp;pageIndex=4"")"
지자체,경기도 고양시,국민건강증진법 위반자 과태료 독촉 및 체납자 압류 예고서 반송분 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843277?&amp;pageIndex=4"")"
지자체,경기도 군포시,인터넷컴퓨터게임시설제공업 등록사항 직권말소 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843332?&amp;pageIndex=2"")"
지자체,경기도 안양시,「전국 다문화 UCC 대회」 개최 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843334?&amp;pageIndex=1"")"
지자체,경기도 의왕시,2016년 6월 수시분 및 1차독촉분 지방소득세 납세고지서 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843281?&amp;pageIndex=3"")"
지자체,경기도 의정부시,2016년 상반기「무단 방치자전거 보관 및 처분 공고」,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843275?&amp;pageIndex=4"")"
지자체,경기도 의정부시,"의정부시, 2016년 양성평등주간 기념행사 열어","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843194?&amp;pageIndex=4"")"
지자체,경상남도 남해군,"남해군, “틀니, 임플란트로 치아 건강 챙기세요!”","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843193?&amp;pageIndex=4"")"
지자체,경상남도 함양군,2016년 필봉산등산(숲길)로 정비사업 소액수의계약 견적제출 안내 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843286?&amp;pageIndex=3"")"
지자체,경상남도 함양군,축제용 산삼단지 일원 급수시설 공사 소액수의계약 견적제출 안내 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843285?&amp;pageIndex=3"")"
지자체,경상남도 함양군,2016년 제16차 도로명주소 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843284?&amp;pageIndex=3"")"
지자체,경상북도,"경북도, 생태계교란 ‘가시박’ 제거 팔 걷어","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843354?&amp;pageIndex=1"")"
지자체,경상북도,"경북도, 체계적인 예타 사업 발굴 집중","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843353?&amp;pageIndex=1"")"
지자체,광주광역시 광산구,"월곡2동 통장 임명사항 공고(제2, 20, 23통)","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843283?&amp;pageIndex=3"")"
지자체,대구광역시 남구,「옥외광고물 등 정비심범구역 지정 및 표시제한·완화」고시(안) 행정예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843333?&amp;pageIndex=1"")"
지자체,대구광역시 동구,임대조건신고 공고(2분기),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843276?&amp;pageIndex=4"")"
지자체,부산광역시,2016년도 부산광역시 지방보조금 지원계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843187?&amp;pageIndex=5"")"
지자체,부산광역시 강서구,"수용재결 신청서류 열람공고(부전~마산간 복선전철 건설사업, 강서구 9차, 16수용0656)","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843122?&amp;pageIndex=5"")"
지자체,부산광역시 강서구,"수용재결 신청서류 열람 공고(부전~마산간 복선전철 건설사업 강서구 10차, 16수용0619)","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843121?&amp;pageIndex=5"")"
지자체,부산광역시 남구,용호3동 주민자치위원회 고문 위촉사항 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843282?&amp;pageIndex=3"")"
지자체,부산광역시 서구,2016년 7월 책임보험 미(지연)가입과태료 부과 고지서 반송분 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843123?&amp;pageIndex=5"")"
지자체,서울특별시 강동구,2016년 신규개원 구립초롱별어린이집 원아모집 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843192?&amp;pageIndex=4"")"
지자체,서울특별시 강서구,[고시공고]건설업 폐업신고에 의한 등록말소 철회 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843291?&amp;pageIndex=2"")"
지자체,서울특별시 노원구,"한미 청소년 홈스테이, 7년간 이어온 우정 다지다!","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843186?&amp;pageIndex=5"")"
지자체,울산광역시,"울산시, ‘시민과 함께하는 호국안보 시티투어’ 실시","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843344?&amp;pageIndex=1"")"
지자체,울산광역시,"울산시, ‘영남알프스 마운틴 탑 사업’실무협의회 개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843343?&amp;pageIndex=1"")"
지자체,울산광역시,‘울산시 아동·여성안전 지킴이단’교육 실시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843342?&amp;pageIndex=1"")"
지자체,인천광역시,"인천시, 빅데이터 활용해 시민 맞춤형 행정서비스 실현","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843304?&amp;pageIndex=2"")"
지자체,인천광역시,한·중·일 국경간 거래의 소비자보호 방안 논의,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843303?&amp;pageIndex=2"")"
지자체,인천광역시,인천 위기 청소년 보호시스템을 말하다,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843302?&amp;pageIndex=2"")"
지자체,인천광역시,여름방학은 인천대공원 어린이동물원 여름학교에서,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843301?&amp;pageIndex=2"")"
지자체,인천광역시,"미추홀도서관, 다문화 체험교실 “올라! 페루”","=HYPERLINK(""http://www.korea.go.kr/locgovNews/843300?&amp;pageIndex=2"")"
지자체,인천광역시,정보공개청구 기관이송 안내문 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843191?&amp;pageIndex=4"")"
지자체,인천광역시 남구,대부업 실태조사서 자료 제출 알림,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843290?&amp;pageIndex=2"")"
지자체,전라북도 임실군,신덕지구(지장천) 하천재해예방사업 보상계획(변경) 열람공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843188?&amp;pageIndex=5"")"
지자체,전라북도 정읍시,정읍시 가축사육제한지역에 대한 지형도면 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843190?&amp;pageIndex=5"")"
지자체,제주특별자치도,2016 「대한민국 인재상」제주지역 후보자 모집,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843345?&amp;pageIndex=1"")"
지자체,제주특별자치도 서귀포시,밭농업 주산지 생산자단체 퇴비살포기 지원사업 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843289?&amp;pageIndex=2"")"
지자체,제주특별자치도 서귀포시,2016년 소나무재선충병 지상방제(연막)시행 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843288?&amp;pageIndex=3"")"
지자체,충청남도,공예품대전 대상에 ‘결정유다기 세트’,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843352?&amp;pageIndex=1"")"
지자체,충청남도,자연공원법 위반자 과태료 체납분 납부독촉 공시송달 공고(제주특별자치도지사),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843196?&amp;pageIndex=4"")"
지자체,충청남도,충청남도 기록관리기준표 단위과제 보존기간 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843195?&amp;pageIndex=4"")"
지자체,충청남도 예산군,2016년 지방보조금 지원사업(광복절기념 한마음걷기대회) 공모,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843280?&amp;pageIndex=3"")"
지자체,충청남도 태안군,허베이 스피리트호 유류오염사고 정부대부금 상환 독촉장 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843335?&amp;pageIndex=1"")"
지자체,충청북도 음성군,음성군 하수도정비 기본계획(변경)용역 및 소이.원남 소규모공공하수처리시설 설치사...,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/843287?&amp;pageIndex=3"")"
