일자,구분,제목,URL
2016-05-27,PDF,Millennial Careers : 2020 Vision,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/EeROwJXluGI/14202?utm_source=feedburner&amp;utm_medium=email"")"
2016-05-27,Video,Elevated Bus That Drives Above Traffic Jams,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/uC7ZnlD9ln8/14204?utm_source=feedburner&amp;utm_medium=email"")"
2016-05-27,기타,Virtual Reality for Good,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/Pnx2Th1tPgs/14208?utm_source=feedburner&amp;utm_medium=email"")"
2016-05-27,기타,This New $70 Device Might be One of The Best Products of The Year,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/1D8HkgrRP-w/14203?utm_source=feedburner&amp;utm_medium=email"")"
2016-05-27,Video,Snickers 'Hungerithm' Sets the Candy's In-Store Price Based on the Internet's Mood,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/1yfpwgIyqrI/14206?utm_source=feedburner&amp;utm_medium=email"")"
2016-05-27,Video,"""De-Dimension"" Furniture that Flattens Into Wall Art Is Perfect for Cramped Apartments","=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/S-D5gXFDiAk/14201?utm_source=feedburner&amp;utm_medium=email"")"
2016-05-27,기타,World's First 3D-Printed Office Building Completed in Dubai,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/So56Cuv-Sx0/14207?utm_source=feedburner&amp;utm_medium=email"")"
2016-05-27,Infographic,Design Trends 2016,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/Vbu8et_7O7I/14205?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,Video,How to Workout with Virtual Reality by HOLODIA,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/bhjUI3rESTo/14232?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,PDF,Mckinsey - Why Customer Analytics Matter,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/uMw_YCkYEyc/14231?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,기타,Starbucks is Partnering with a Beer Giant to Enter a $1 Billion Business,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/zAVbka78e5A/14230?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,기타,IBM Has Been Awarded an Average of 24 Patents Per Day So Far in 2016,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/MHfJoQYL5Go/14229?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,기타,U.S. Track Cycling Team Training for Rio Olympics with Smart Sunglasses,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/GFhaUobajlo/14225?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,PDF,"This Mobile Security Feature Will Annoy You, But It Will Also Protect Your Phone - NomadiKey","=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/RU4lqpLbC6E/14227?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,기타,Order Your Hangover Cure Through Instagram - Dirtylemon,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/hwWJDia6SL4/14228?utm_source=feedburner&amp;utm_medium=email"")"
2016-06-07,Video,Mylight.me Bedlight Motion Activated Illumination with Automatic Shut Off,"=HYPERLINK(""http://feedproxy.google.com/~r/trendbirds/~3/LQeWfXf1tkY/14226?utm_source=feedburner&amp;utm_medium=email"")"
