구분,발표처,제목,웹주소
중앙부처,관세청,2016년도 제1회 전문경력관 다군(X-Ray 검색 및 판독) 경력경쟁채용 필기시험 합격자...,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846900?&amp;pageIndex=2"")"
중앙부처,교육부,“대학재정지원사업 개편 방향(시안)”발표,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846899?&amp;pageIndex=2"")"
중앙부처,교육부,2016년 시.도교육청평가 결과 발표,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846898?&amp;pageIndex=2"")"
중앙부처,국가평생교육진흥원,[공고] 2016년 평생교육 유공자(문해교육) 표창계획 알림,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846983?&amp;pageIndex=1"")"
중앙부처,국가평생교육진흥원,[공고] 2016년 평생학습 중심대학 지원 사업 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846982?&amp;pageIndex=1"")"
중앙부처,국가평생교육진흥원,제13회 대한민국 평생학습대상 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846657?&amp;pageIndex=3"")"
중앙부처,국무조정실,"황 총리, 니스테러에 “국민 피해 신속하게 파악해야”","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829339?&amp;pageIndex=3"")"
중앙부처,국무조정실,"정부, 공직기강 확립에 적극 나선다","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829333?&amp;pageIndex=4"")"
중앙부처,국민안전처,계곡 물놀이 위험요소 많아 주의해야!,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829336?&amp;pageIndex=4"")"
중앙부처,금융위원회,금융회사 대상 금융위 옴부즈만 제도 설명회 및 옴부즈만 회의 개최,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846566?&amp;pageIndex=3"")"
중앙부처,농림축산식품부,"친환경농산물 소비, 학교급식과 직거래가 대세","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829334?&amp;pageIndex=4"")"
중앙부처,문화체육관광부,문화파출소 리모델링 설계 및 감리(치안센터9개소) 입찰공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846907?&amp;pageIndex=2"")"
중앙부처,문화체육관광부,떠나요 제주도…하얀소금이 빛나는 마을로,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829338?&amp;pageIndex=3"")"
중앙부처,민주평화통일자문회의,"민주평통, 2016년 제2차『북한인권전략회의』개최","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846981?&amp;pageIndex=1"")"
중앙부처,보건복지부,의료급여 수급권자의 의료서비스 접근성 강화,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829337?&amp;pageIndex=3"")"
중앙부처,산림청,[국립산림과학원] 홍릉숲 예약 방문 관람 안내,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846781?&amp;pageIndex=3"")"
중앙부처,산림청,[산림항공본부] 산림항공본부 마루미봉사회 6월 봉사활동 실시,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846780?&amp;pageIndex=3"")"
중앙부처,외교부,프랑스 니스 차량테러 관련 관계부처 대책회의 개최,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846980?&amp;pageIndex=1"")"
중앙부처,외교부,"한반도본부장, 한-미 6자회담 수석대표 협의차 방미","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846979?&amp;pageIndex=1"")"
중앙부처,외교부,제4차 한․미․일 외교차관협의회 개최 결과,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846978?&amp;pageIndex=1"")"
중앙부처,외교부,"“한ㆍ일ㆍ중 대학생, 어깨동무하며 3국 청년의 우의를 다진다”","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846977?&amp;pageIndex=1"")"
중앙부처,인사혁신처,2016년도 국가공무원 5급 및 7급 민간경력자 일괄채용 필기시험 일시·장소 및 준수...,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846788?&amp;pageIndex=2"")"
중앙부처,인사혁신처,2016년도 국가공무원 5급 민간경력자 일괄채용 해외 필기시험 일시·장소 및 준수사항 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846787?&amp;pageIndex=2"")"
중앙부처,인사혁신처,2016년도 공공기관 청렴도 측정을 위한 개인정보 제3자 제공사항 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846786?&amp;pageIndex=2"")"
중앙부처,정책브리핑,"[차관동정] 김 차관, ""행복주택, 올해 1만호→내년 2만호 입주자모집 물량 확대할 것""","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846569?&amp;pageIndex=3"")"
중앙부처,정책브리핑,"[참고]「‘포켓몬 고’ 미서비스, 구글 지도반출 불허 때문」 보도 관련","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846568?&amp;pageIndex=3"")"
중앙부처,정책브리핑,농수산식품 창업 스타를 향한 본격적인 경쟁 시작,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846567?&amp;pageIndex=3"")"
중앙부처,한국감정원,한국감정원『학술지 부동산분석 제2권 제2호 논문 모집 실시』,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846974?&amp;pageIndex=1"")"
중앙부처,한국정보화진흥원,"미래창조과학부ㆍ한국정보화진흥원, 청소년 대상 사이버범죄 예방을 위한 뮤지컬 공...","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846976?&amp;pageIndex=1"")"
중앙부처,한국정보화진흥원,“전자정부 수출 10억불 달성 위한 전자정부 컨설팅 국가대표 양성”,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846975?&amp;pageIndex=1"")"
중앙부처,해양수산부,선박안전도정보 공표('16년 2/4분기),"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846909?&amp;pageIndex=2"")"
중앙부처,해양수산부,2016년 3분기 특별점검 대상선박 고시,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846908?&amp;pageIndex=2"")"
중앙부처,해양수산부,목포-상태 서리 항로에 대한 대항여객운송사업자 선정결과 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/846901?&amp;pageIndex=2"")"
중앙부처,환경부,"공중전화부스, 전기차 급속충전소로 활용된다","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/829335?&amp;pageIndex=4"")"
