순번,키워드,발표처,제목,웹주소
1,ETRI,경향신문,중국 지하철에 ETRI 기가급 데이터서비스 적용,"=HYPERLINK(""http://biz.khan.co.kr/khan_art_view.html?artid=201607211540001&code=920100"")"
1,ETRI,한국경제,ETRI 최초 기업인 출신 원장,"=HYPERLINK(""http://www.hankyung.com/news/app/newsview.php?aid=2016072141701"")"
1,ETRI,아이티투데이,"韓 모바일인터넷 기술, 中 지하철 상용화 타진","=HYPERLINK(""http://www.ittoday.co.kr/news/articleView.html?idxno=71701"")"
1,ETRI,대덕넷,"Idea 좋다고 다 특허?···""전문적 선행기술조사 먼저!""","=HYPERLINK(""http://www.hellodd.com/?md=news&mt=view&pid=58702"")"
1,ETRI,서울경제,박 대통령도 놀란 스타트업들의 기염,"=HYPERLINK(""http://www.sedaily.com/NewsView/1KYYAL78T2"")"
1,ETRI,뉴시스,"울산발전연구원 ""드론산업, 산업안전 등에 특화를""","=HYPERLINK(""http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160721_0014236832&cID=10813&pID=10800"")"
1,ETRI,매일경제,한국판 `딥마인드` 산실…스타트업 1063개에 생명을 불어넣다,"=HYPERLINK(""http://news.mk.co.kr/newsRead.php?no=523787&year=2016"")"
1,ETRI,한국안전방송,시·도교육청 자유학기제 운영 우수사례,"=HYPERLINK(""http://www.csbn.co.kr/news/article.html?no=12378"")"
1,ETRI,Il Resto del Carlino,"Lugo, apre al pubblico il nuovo SkatePark di via Colombo","=HYPERLINK(""http://www.ilrestodelcarlino.it/ravenna/lugo-skatepark-1.2365591"")"
2,한국전자통신연구원,뉴시스,"서병수 시장, 현안 해결·국비확보 직접 나선다","=HYPERLINK(""http://www.newsis.com/ar_detail/view.html?ar_id=NISX20160722_0014239045&cID=10811&pID=10800"")"
2,한국전자통신연구원,전자신문,[출연연 대개혁] 10억 미만 소형과제가 87%,"=HYPERLINK(""http://www.etnews.com/20160721000418"")"
2,한국전자통신연구원,세종인터넷신문,제3회 IP SUMMIT 컨퍼런스 개최고부가가치 지식재산 창출을 위한 ...,"=HYPERLINK(""http://www.thesejong.tv/news/articleView.html?idxno=39222"")"
2,한국전자통신연구원,이데일리,25개 출연硏 전국에 분원 64곳…8곳 중 1곳은 부실운영,"=HYPERLINK(""http://www.edaily.co.kr/news/newspath.asp?newsid=01262806612717144"")"
2,한국전자통신연구원,보안뉴스,"[보안·IT산업 동향] 인섹시큐리티, '디지털포렌식 세미나 2016' 개최 外","=HYPERLINK(""http://www.boannews.com/media/view.asp?idx=51297&kind=4"")"
2,한국전자통신연구원,서울경제,[핫이슈] 총수들 전장사업에 사활…LG는 글로벌 100대 부품사 '우뚝',"=HYPERLINK(""http://www.sedaily.com/NewsView/1KYYB7RSNM"")"
2,한국전자통신연구원,아유경제,"'서울~부산 16분 시대' 도래하나… UNIST, 하이퍼루프 연구 '시동'","=HYPERLINK(""http://www.areyou.co.kr/news/articleView.html?idxno=19570"")"
2,한국전자통신연구원,YTN,사람 청각·시각의 '25배'...5G 이동통신 시대 열렸다,"=HYPERLINK(""http://www.ytn.co.kr/_ln/0115_201607220503076410"")"
3,ETRI,YTN,사람의 사물 감지속도 보다 25배 빠른 이동통신 기술 개발,"=HYPERLINK(""http://www.ytn.co.kr/_ln/0115_201607221130268843"")"
5,미래부,연합뉴스,"미래부 ""북한 해킹 위협↑…범부처 대응 태세 강화""","=HYPERLINK(""http://www.yonhapnews.co.kr/bulletin/2016/07/22/0200000000AKR20160722063900017.HTML"")"
