구분,발표처,제목,웹주소
중앙부처,고용노동부,"고용부장관, 7.22(금) 국가직무능력표준(NCS) 확정ㆍ고시","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156499&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,고용노동부,아빠 육아휴직 이제는 대세가 됐어요!,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156500&amp;&amp;pp=10&amp;pg=6"")"
중앙부처,교육부,"대학 강사제도 정책자문위원회, 대학 강사제도 종합대책(시안) 발표 및 공청회 개최","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156495&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,교육부,"학생의 미래 삶과 지역사회와의 교감, 자유학기제","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156494&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,교육부,"이준식 부총리, 전국시도교육감협의회 회장단 간담회 결과","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156496&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,교육부,‘지방교육재정알리미’ 서비스 만족도 높아,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156497&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,교육부,학원 과대ㆍ거짓 인터넷 광고 집중 모니터링 실시,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156493&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,국립해양조사원,"바다 조사도 로봇시대, ‘무인해양조사’ 본격 개막","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156489&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,국토교통부,드론 신산업 지원을 위한 3차원 드론길 구축 프로젝트 시작 !,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156470&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,국토교통부,‘16.8.12일부터 주택청약종합저축 2년이상 가입자 이자율 0.2%p(2.0%→1.8%) 인하,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156472&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,국토교통부,’16년 상반기 항공교통량 역대 ‘최대’,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156469&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,국토교통부,“문화를 가진 삶의 공간으로 만들려면?”···문체부ㆍ국토부 협업 세미나,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156471&amp;&amp;pp=10&amp;pg=5"")"
중앙부처,금융위원회,임종룡 금융위원장 사잇돌 중금리 대출 운용상황 점검,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156475&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,금융위원회,개인종합자산관리계좌(ISA) 가입동향 및 분석,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156474&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,금융위원회,"임종룡 금융위원장, 제3차 한ㆍ영 금융협력포럼 및 핀테크 데모데이 개최를 위해 영국 런던으로 출국","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156473&amp;&amp;pp=10&amp;pg=4"")"
중앙부처,기획재정부,‘16.7월 국제통화기금(IMF) 세계경제전망 수정,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156465&amp;&amp;pp=10&amp;pg=2"")"
중앙부처,농림축산식품부,“비료품질관리정보시스템” 구축,"=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156481&amp;&amp;pp=10&amp;pg=3"")"
중앙부처,농림축산식품부,"친환경 과수 재배기술, 새로운 길 열려","=HYPERLINK(""http://www.kdi.re.kr/policy/ep_view.jsp?idx=156484&amp;&amp;pp=10&amp;pg=3"")"
