구분,발표처,제목,웹주소
중앙부처,고용노동부,보건관리전문기관 현황(16년 7월 19일 현재 기준 구.보건관리대행기관),"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848479?&amp;pageIndex=2"")"
중앙부처,교육부,2016 교육(행정)기관 정보보호 컨퍼런스 개최,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848527?&amp;pageIndex=1"")"
중앙부처,교육부,자살위험 등 고위험군 학생 정신의학적 지원 강화,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848526?&amp;pageIndex=1"")"
중앙부처,교육부,「외국인학교 및 외국인유치원의 설립.운영에 관한 규정」개정안 국무회의 통과,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848525?&amp;pageIndex=1"")"
중앙부처,농림축산식품부,온라인 정책토론(스마트 시설원예단지 조성방안) 실시 공고,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848524?&amp;pageIndex=1"")"
중앙부처,문화체육관광부,한국문화예술교육진흥원 2016 꿈다락 토요문화학교 주말문화여행 프로그램 기획ㆍ운...,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848481?&amp;pageIndex=1"")"
중앙부처,문화체육관광부,한국문화예술교육진흥원 꿈다락 토요문화학교 도서관 연계 프로그램 - 작은도서관 기...,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848480?&amp;pageIndex=2"")"
중앙부처,정책브리핑,"국방기술품질원, 기술기획본부 창설 10주년 기념 국방기술기획 발전 세미나 개최","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848486?&amp;pageIndex=1"")"
중앙부처,정책브리핑,대학졸업예정자도 직업훈련에 참여한다!,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848485?&amp;pageIndex=1"")"
중앙부처,정책브리핑,"조선업 특별고용지원업종으로 지정! 공단, 장애인 고용부담금 납부연장 및 체납처분...","=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848484?&amp;pageIndex=1"")"
중앙부처,정책브리핑,2016 교육기관 정보보호 컨퍼런스 개최,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848483?&amp;pageIndex=1"")"
중앙부처,정책브리핑,도심 속 한식문화로 즐기는 여름 나기,"=HYPERLINK(""http://www.korea.go.kr/ntnadmNews/848482?&amp;pageIndex=1"")"
지자체,강원도 강릉시,7. 19(화) 보도자료,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848372?&amp;pageIndex=5"")"
지자체,강원도 홍천군,개간사업시행 계획 승인 고시(내면 율전리 산145번지 외 1필지),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848371?&amp;pageIndex=5"")"
지자체,경기도 고양시,신축상가지역 담배소매인 지정신청 공고문,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848453?&amp;pageIndex=4"")"
지자체,경기도 고양시,경기도 지정문화재 주변 3개소 현상변경 허용기준 조정(안) 작성에 따른 의견 청취,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848452?&amp;pageIndex=5"")"
지자체,경기도 고양시,고양시 주민자치회 시범실시 주민자치회 위원 명단 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848451?&amp;pageIndex=5"")"
지자체,경기도 의정부시,2016년 제3회 도로관리심의회 개최에 따른 사업계획서 제출기간 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848462?&amp;pageIndex=4"")"
지자체,경기도 의정부시,공시 송달 공고 (추동근린공원 수용재결 관련),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848460?&amp;pageIndex=4"")"
지자체,경기도 의정부시,의정부 도시계획시설[공간시설:공원(직동근린공원)]사업 실시계획인가(변경) 고시,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848459?&amp;pageIndex=4"")"
지자체,경기도 이천시,모가면 주민자치학습센터 2016년 상반기 수입.지출내역 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848523?&amp;pageIndex=1"")"
지자체,경기도 이천시,2016년 장호원읍 주민자치학습센터 상반기 수강료 수입지출내역 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848522?&amp;pageIndex=1"")"
지자체,경기도 이천시,"""16 마장면 주민자치학습센터 상반기 수강료 수입.지출 내역 공고","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848521?&amp;pageIndex=1"")"
지자체,경기도 이천시,이천시민 누구나 받을수 있는 혜택!! 풍수해보험,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848520?&amp;pageIndex=1"")"
지자체,경기도 이천시,주행형 불법주정차 단속 카메라 설치에 따른 행정예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848519?&amp;pageIndex=1"")"
지자체,경기도 이천시,전통사찰 미륵암 방재시스템 구축용 CCTV설치 행정예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848518?&amp;pageIndex=1"")"
지자체,경기도 이천시,2016년 생활방범 단독형 CCTV 설치 행정예고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848517?&amp;pageIndex=2"")"
지자체,경기도 이천시,이천시 산업융복합형 기업형임대주택 공급촉진지구지정을 위한 주민 열람 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848516?&amp;pageIndex=2"")"
지자체,경기도 하남시,신규 주민등록증 발급 공고(1999년 6월생),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848375?&amp;pageIndex=5"")"
지자체,경상남도 진주시,2016년 하반기 진주시 농업기금 융자시행계획 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848466?&amp;pageIndex=3"")"
지자체,경상북도,경북 농어촌으로 ‘영어버스’ 달려간다,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848315?&amp;pageIndex=6"")"
지자체,경상북도,야생동물과의 전쟁…경북도 ‘피해방지단’ 운영,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848314?&amp;pageIndex=6"")"
지자체,경상북도 칠곡군,칠곡군 건강가정·다문화가족지원센터 위탁운영기관 모집 재공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848471?&amp;pageIndex=3"")"
지자체,대구광역시 동구,이륜차 책임보험미가입 과태료 고지서 반송분에 대한 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848458?&amp;pageIndex=4"")"
지자체,대구광역시 동구,이륜차 책임보험미가입 과태료 고지서 반송분에 대한 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848457?&amp;pageIndex=4"")"
지자체,대구광역시 동구,이륜차책임보험미가입 과태료 고지서 반송분에 대한 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848456?&amp;pageIndex=4"")"
지자체,대구광역시 동구,전문건설업 신규등록 공고(유림건설),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848455?&amp;pageIndex=4"")"
지자체,부산광역시 기장군,"장애인전용주차구역위반 사전처분통지서, 본부과고지서, 체납통지서, 압류예고통지서...","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848290?&amp;pageIndex=6"")"
지자체,부산광역시 북구,부산광역시 북구 화명1동 주민자치위원회 고문 및 위원 인적사항 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848295?&amp;pageIndex=6"")"
지자체,부산광역시 북구,불명자 공고 및 공시송달,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848294?&amp;pageIndex=6"")"
지자체,부산광역시 북구,무단방치자전거 처리공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848293?&amp;pageIndex=6"")"
지자체,부산광역시 북구,2016년 7월 자동차 의무보험 과태료 독촉고지서 송달불능자 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848292?&amp;pageIndex=6"")"
지자체,부산광역시 북구,구포1지구(1단계) 지적재조사사업 완료에 따른 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848291?&amp;pageIndex=6"")"
지자체,부산광역시 서구,재결서 정본 공시송달 공고(암남동 덕수빌라~송남빌라간 도로개설공사),"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848288?&amp;pageIndex=7"")"
지자체,부산광역시 서구,2016년 7월 자동차번호판 영치사전통지서 반송분 공시송달 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848287?&amp;pageIndex=7"")"
지자체,부산광역시 해운대구,주민자치회 프로그램 수강료 수입 및 지출내역 공고,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848289?&amp;pageIndex=6"")"
지자체,서울특별시,"백남준기념관 조성사업 발대식, “헬로우 백남준”개최","=HYPERLINK(""http://www.korea.go.kr/locgovNews/848528?&amp;pageIndex=1"")"
지자체,서울특별시 마포구,자원봉사가 함께하는 '공유서가' 홍보를 위한 '재능나눔 국악콘서트' 안내,"=HYPERLINK(""http://www.korea.go.kr/locgovNews/848472?&amp;pageIndex=3"")"
